2026-03-20 18:00:41 | INFO     | handlers.user             | User 7422733657 (danil14055) triggered /start
2026-03-20 18:00:41 | DEBUG    | telegram.ext.ExtBot       | Entering: send_message
2026-03-20 18:00:45 | DEBUG    | telegram.ext.ExtBot       | Message(channel_chat_created=False, chat=Chat(first_name='Данил', id=7422733657, type=<ChatType.PRIVATE>, username='danil14055'), date=datetime.datetime(2026, 3, 20, 15, 0, 44, tzinfo=datetime.timezone.utc), delete_chat_photo=False, entities=(MessageEntity(length=22, offset=3, type=<MessageEntityType.BOLD>),), from_user=User(first_name='My Service Bot', id=8591411527, is_bot=True, username='my7service14_bot'), group_chat_created=False, message_id=2, reply_markup=InlineKeyboardMarkup(inline_keyboard=((InlineKeyboardButton(callback_data='menu_consultation', text='💼 Consultation'), InlineKeyboardButton(callback_data='menu_order', text='📋 Order Service')), (InlineKeyboardButton(callback_data='menu_faq', text='❓ FAQ'), InlineKeyboardButton(callback_data='menu_contacts', text='📬 Contacts')))), supergroup_chat_created=False, text='👋 Welcome to ServiceBot!\n\nWe provide professional digital services:\n• Web & mobile development\n• Business consulting\n• Technical support & maintenance\n\nChoose an option below to get started:')
2026-03-20 18:00:45 | DEBUG    | telegram.ext.ExtBot       | Exiting: send_message
2026-03-20 18:00:51 | DEBUG    | telegram.ext.ExtBot       | No new updates found.
2026-03-20 18:00:51 | DEBUG    | telegram.ext.ExtBot       | ()
2026-03-20 18:00:51 | DEBUG    | telegram.ext.ExtBot       | Exiting: get_updates
2026-03-20 18:00:51 | DEBUG    | telegram.ext.ExtBot       | Entering: get_updates
2026-03-20 18:00:59 | DEBUG    | telegram.ext.ExtBot       | Getting updates: [541242022]
2026-03-20 18:00:59 | DEBUG    | telegram.ext.ExtBot       | (Update(callback_query=CallbackQuery(chat_instance='-1890682328841329541', data='menu_consultation', from_user=User(first_name='Данил', id=7422733657, is_bot=False, language_code='ru', username='danil14055'), id='4210282196764261223', message=Message(channel_chat_created=False, chat=Chat(first_name='Данил', id=7422733657, type=<ChatType.PRIVATE>, username='danil14055'), date=datetime.datetime(2026, 3, 20, 15, 0, 44, tzinfo=datetime.timezone.utc), delete_chat_photo=False, entities=(MessageEntity(length=22, offset=3, type=<MessageEntityType.BOLD>),), from_user=User(first_name='My Service Bot', id=8591411527, is_bot=True, username='my7service14_bot'), group_chat_created=False, message_id=2, reply_markup=InlineKeyboardMarkup(inline_keyboard=((InlineKeyboardButton(callback_data='menu_consultation', text='💼 Consultation'), InlineKeyboardButton(callback_data='menu_order', text='📋 Order Service')), (InlineKeyboardButton(callback_data='menu_faq', text='❓ FAQ'), InlineKeyboardButton(callback_data='menu_contacts', text='📬 Contacts')))), supergroup_chat_created=False, text='👋 Welcome to ServiceBot!\n\nWe provide professional digital services:\n• Web & mobile development\n• Business consulting\n• Technical support & maintenance\n\nChoose an option below to get started:')), update_id=541242022),)
2026-03-20 18:00:59 | DEBUG    | telegram.ext.ExtBot       | Exiting: get_updates
2026-03-20 18:00:59 | DEBUG    | telegram.ext.ExtBot       | Entering: get_updates
